vertex1_x,vertex1_y,vertex2_x,vertex2_y,vertex3_x,vertex3_y,vertex4_x,vertex4_y,Area,Areal Frequency B20,Areal Frequency P20,Branch Mean Length,Branch Min Length,Branch Max Length,Connections per Branch,Connections per Trace,Connection Frequency,Dimensionless Intensity B22,Dimensionless Intensity P22,Fracture Density (Mauldon),Fracture Intensity B21,Fracture Intensity (Mauldon),Fracture Intensity P21,Number of Branches,Number of Branches (Real),Number of Traces,Number of Traces (Real),Trace Mean Length,Trace Min Length,Trace Max Length,Trace Mean Length (Mauldon)
466002.02151642326,6691570.118339248,466006.02151642326,6691570.118339248,466006.02151642326,6691566.118339248,466002.02151642326,6691566.118339248,112.91574565917047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,
466002.02151642326,6691566.118339248,466006.02151642326,6691566.118339248,466006.02151642326,6691562.118339248,466002.02151642326,6691562.118339248,112.91574565917047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,
466006.02151642326,6691606.118339248,466010.02151642326,6691606.118339248,466010.02151642326,6691602.118339248,466006.02151642326,6691602.118339248,112.91574565917047,0.21254785911295832,0.07084928637098611,0.9847776457759693,0.10847245953920194,2.5480258507654834,1.8333333333333333,3.5,0.12398625114922569,0.20612615311539748,0.3805405903668876,,0.2093123803119815,,0.2093123803119815,24.0,29,8.0,13,1.8180510383556354,0.10847245953920194,4.057728324593439,
466006.02151642326,6691602.118339248,466010.02151642326,6691602.118339248,466010.02151642326,6691598.118339248,466006.02151642326,6691598.118339248,112.91574565917047,0.6287874165425017,0.2214040199093316,0.9291846778778471,0.09908461659413341,3.0062936904355566,1.8028169014084507,3.28,0.3631025926513038,0.5428850989731877,1.2045263133467603,,0.5842596330936881,,0.5842596330936881,71.0,78,25.0,32,2.0616285040414732,0.30468824696979185,5.664329038983024,
466006.02151642326,6691598.118339248,466010.02151642326,6691598.118339248,466010.02151642326,6691594.118339248,466006.02151642326,6691594.118339248,112.91574565917047,1.6029651041435606,0.504801165393276,0.6953036531438759,0.003907914415726975,3.590330972961397,1.8342541436464088,3.6491228070175437,0.9210407228228193,0.7749489433275335,1.9214487498942954,,1.1145474927731711,,1.1145474927731711,181.0,197,57.0,73,1.7239720714937197,0.028152708194566906,9.533085518406507,
466006.02151642326,6691594.118339248,466010.02151642326,6691594.118339248,466010.02151642326,6691590.118339248,466006.02151642326,6691590.118339248,112.91574565917047,1.7579479180800928,0.5446538889769557,0.6873966570200131,0.001999708692530457,3.590330972961397,1.7984886649874054,3.5772357723577235,0.9741776876010589,0.8306552910118161,2.169540464024283,,1.2084075221035475,,1.2084075221035475,198.5,213,61.5,76,1.7953715318220078,0.0020998538916913714,11.623580100875825,
466006.02151642326,6691590.118339248,466010.02151642326,6691590.118339248,466010.02151642326,6691586.118339248,466006.02151642326,6691586.118339248,112.91574565917047,2.152047073518703,0.6907805421171146,0.6326850168203818,0.016897140829226196,3.126982178467942,1.8148148148148149,3.5384615384615383,1.2221501898995104,0.8614436343297426,2.250868850990618,,1.3615679389074342,,1.3615679389074342,243.0,258,78.0,93,1.6531447213693848,0.04731360468660923,10.176445110493514,
466006.02151642326,6691586.118339248,466010.02151642326,6691586.118339248,466010.02151642326,6691582.118339248,466006.02151642326,6691582.118339248,112.91574565917047,1.8952184104238783,0.6199312557461284,0.6343714670036803,0.006874179256804279,3.1092422142536167,1.794392523364486,3.4285714285714284,1.0627392955647916,0.7626873589774122,1.9430368431091216,,1.202272483312979,,1.202272483312979,214.0,228,70.0,84,1.6161368326046142,0.029530819368959654,11.442632883399034,
466006.02151642326,6691582.118339248,466010.02151642326,6691582.118339248,466010.02151642326,6691578.118339248,466006.02151642326,6691578.118339248,112.91574565917047,1.478978852994335,0.4605203614114097,0.6538523475726026,0.012673084664118608,2.9102040781277347,1.81437125748503,3.6153846153846154,0.8324791148590868,0.6322973170693269,1.6245177223165783,,0.967033795040581,,0.967033795040581,167.0,180,52.0,65,1.679897569917302,0.07222698845032878,7.870310270566977,
466006.02151642326,6691578.118339248,466010.02151642326,6691578.118339248,466010.02151642326,6691574.118339248,466006.02151642326,6691574.118339248,112.91574565917047,0.8147667932663403,0.2656848238911979,0.6514961479902562,0.008295572241007059,2.9102040781277347,1.826086956521739,3.533333333333333,0.469376522207783,0.34582550918728905,0.7399057405867581,,0.5308174273233941,,0.5308174273233941,92.0,105,30.0,43,1.393898735234967,0.008295572241007059,7.039139862842061,
466006.02151642326,6691574.118339248,466010.02151642326,6691574.118339248,466010.02151642326,6691570.118339248,466006.02151642326,6691570.118339248,112.91574565917047,0.03985272358367969,0.013284241194559895,1.576107470334697,0.01796036551199389,2.129357629436704,2.0,4.0,0.02656848238911979,0.09899873880250025,0.05568679057640639,,0.0628121753534213,,0.0628121753534213,4.5,11,1.5,8,0.886560452063267,0.026150435801486016,3.9122263413560447,
466006.02151642326,6691570.118339248,466010.02151642326,6691570.118339248,466010.02151642326,6691566.118339248,466006.02151642326,6691566.118339248,112.91574565917047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,
466006.02151642326,6691566.118339248,466010.02151642326,6691566.118339248,466010.02151642326,6691562.118339248,466006.02151642326,6691562.118339248,112.91574565917047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,
466010.02151642326,6691606.118339248,466014.02151642326,6691606.118339248,466014.02151642326,6691602.118339248,466010.02151642326,6691602.118339248,112.91574565917047,0.3321060298639974,0.10184584915829253,0.7573987197586046,0.09908461659413341,2.5255132090958057,1.92,4.0,0.20369169831658507,0.1905135608002948,0.42025050176535617,,0.2515366818431045,,0.2515366818431045,37.5,43,11.5,17,1.6707324700557453,0.30468824696979185,5.045798019210284,
466010.02151642326,6691602.118339248,466014.02151642326,6691602.118339248,466014.02151642326,6691598.118339248,466010.02151642326,6691598.118339248,112.91574565917047,0.6996367029134878,0.24797250229845139,0.841916850360021,0.033753504240899984,4.223632812611404,1.7341772151898733,3.0714285714285716,0.38081491424405034,0.4959192743562517,1.0309900703722075,,0.5890359293131934,,0.5890359293131934,79.0,89,28.0,38,1.7503008204853068,0.1187646574915582,7.9923358157858075,
